# wl command inventory — ASUS GT-AC5300, firmware 3.0.0.4.386_51582
# Regenerate with scripts/wl-inventory.sh. See docs/10-wl-commands.md for the tier model.
#
# A = bare call reads, safe to sweep      B = bare call acts, exclude from sweeps
# C = transmits or needs arguments        D = persistent/regulatory/calibration, do not touch
#
command	tier	help
scan_home_time	B	Get/Set scan home channel dwell time
scan_nprobes	B	Get/Set scan parameter for number of probes to use per channel scanned
scan_passive_time	B	Get/Set passive scan channel dwell time
scan_ps	B	
scan_unassoc_time	B	Get/Set unassociated scan channel dwell time
scanabort	B	Abort a scan.
scancache_clear	B	clear the scan cache
scanmac	B	scanmac enable <0|1>
scanresults	B	Return results from last scan.
scansuppress	B	Suppress all scans for testing.
scb_timeout	A	AP only: inactivity timeout value for authenticated stas
send_nulldata	A	Sed a null frame to the specified hw address
seq_delay	B	Driver should spin for the indicated amount of time.
seq_error_index	B	Used to retrieve the index (starting at 1) of the command that failed within a batch
seq_start	B	Initiates command batching sequence. Subsequent IOCTLs will be queued until
seq_stop	B	Defines the end of command batching sequence. Queued IOCTLs will be executed.
set_pmk	A	
shmem	D	offset [ value ] [band ]
shmemx	D	offset [ value ] [band ]
shortslot	A	Get current 11g Short Slot Timing mode. (0=long, 1=short)
shortslot_override	A	Get/Set 11g Short Slot Timing mode override. (-1=auto, 0=long, 1=short)
shortslot_restrict	A	Get/Set AP Restriction on associations for 11g Short Slot Timing capable STAs.
slowtimer	A	Deprecated. Use slow_timer.
smfstats	A	get/clear selected management frame (smf) statswl smfstats [-C num]|[--cfg=num] [auth]|[assoc]|
spatial_policy	A	set/get spatial_policy
spect	A	0 - Off
sr_dump_pmu	A	Dump value of PMU registers
sr_pmu_keep_on	A	Keep resource on
sr_power_island	A	Keep power islands on/off.
srchmem	A	
srclear	D	Usage: srclear <len>
srcrc	A	
srdump	A	
srl	A	
srwrite	D	
ssid	A	wl ssid [-C num]|[--cfg=num] [<ssid>]
sta_info	A	wl sta_info <xx:xx:xx:xx:xx:xx>
sta_monitor	A	wl sta_monitor [enable|disable|counters|reset_cnts] | [<add/del> <xx:xx:xx:xx:xx:xx>]
staname	A	Maximum name length is 15 bytes
staprio	A	Usage: wl staprio <xx:xx:xx:xx:xx:xx> <prio>
status	A	(also known as "assoc")
suprates	A	Returns or sets the 11g override for the supported rateset
svmp_mem	A	Usage: wl svmp_mem <offset> <len> [ <val> ]
taf	A	wl taf <scheduler_id> [coeff [<coeff>]|dump|list]
tbow_doho	A	Trigger the BT-WiFi handover/handback
tclas_add	C	add tclas frame classifier type entry
tclas_del	C	delete tclas frame classifier type entry
tclas_list	A	list the added tclas frame classifier type entry
tdls_endpoint	A	Available TDLS operations to each TDLS peer.
tdls_sta_info	A	wl tdls_sta_info <xx:xx:xx:xx:xx:xx>
tdls_wfd_ie	A	To set, get and clear additional WFD IE in setup_req and setup_resp
tkip_countermeasures	B	Enable or disable TKIP countermeasures (TKIP-enabled AP only)
toe	A	
toe_ol	A	
toe_stats	A	Display checksum offload statistics
toe_stats_clear	B	Clear checksum offload statistics
tpc_lm	A	
tpc_mode	A	Enable/disable AP TPC.
tpc_period	A	Set AP TPC periodicity in secs.
trf_mgmt_bandwidth	A	Sets/gets traffic management bandwidth configuration.
trf_mgmt_config	A	Sets/gets traffic management configuration.
trf_mgmt_filters_add	C	Adds a traffic management filter.
trf_mgmt_filters_addex	A	Adds a traffic management filter.
trf_mgmt_filters_clear	B	Clears all traffic management filters.
trf_mgmt_filters_list	A	Lists all traffic management filters.
trf_mgmt_filters_remove	A	Removes a traffic management filter.
trf_mgmt_filters_removeex	A	Removes a traffic management filter.
trf_mgmt_flags	A	Sets/gets traffic management operational flags.
trf_mgmt_shaping_info	A	Gets traffic management shaping parameters.
trf_mgmt_stats	A	Gets traffic management statistics.
trf_mgmt_stats_clear	B	Clears traffic management statistics.
tsc	A	
tsf	A	Usage: wl tsf [<high> <low>]
tssi	A	
txant	A	0 - force use of antenna 0
txbf_rateset	A	Get rateset consisting of OFDM, HT and VHT rates, and Broadcom-to-Broadcom
txcal_gainsweep	D	start Gain Sweep for TX Cal: wl txcal_gainsweep <xx:xx:xx:xx:xx:xx> [ipg] [len] [nframes] [gidx
txcal_gainsweep_meas	D	Get TSSI/PWR measurments from last TX Cal Gain Sweep: wl txcal_gainsweep_meas
txcal_pwr_tssi_tbl	D	Get the saved consolidated TSSI/PWR table: wl txcal_pwr_tssi_tbl <core> <chan>
txchain_pwr_offset	A	Usage: wl txchain_pwr_offset [qdBm offsets]
txcore	A	-k CCK core mask
txcore_override	A	Usage: wl txcore_override
txdelay_params	A	get chanim stats
txfifo_sz	A	set/get the txfifo size; usage: wl txfifo_sz <fifonum> <size_in_bytes>
txinstpwr	A	Return tx power based on instant TSSI
txmcsset	C	get Transmit MCS rateset for 11N device
txpathpwr	A	Turn the tx path power on or off on 2050 radios
ucantdiv	D	Enable/disable ucode antenna diversity (1/0 or on/off)
ucflags	A	offset [ value ] [ band ]
up	B	
upgrade	B	
vasip_counters_clear	B	clear vasip counters
ver	A	
wake	A	0: core-managed
wci2_config	A	Get/Set LTE coex MWS signaling config
wds	A	Set using a space separated list of MAC addresses.
wds_ap_ifname	A	Get associated AP interface name for WDS interface.
wds_remote_mac	A	Get WDS link remote endpoint's MAC address
wds_type	A	Indicate whether the interface to which this IOVAR is sent is of WDS or DWDS type.
wds_wpa_role	A	Get/Set WDS link local endpoint's WPA role
wds_wpa_role_old	A	Get WDS link local endpoint's WPA role (old)
wepstatus	A	Set or Get WEP status
wet	A	
wlc_ver	A	
wme	A	
wme_ac	A	
wme_apsd	A	Set APSD (Automatic Power Save Delivery) mode on AP (0=off, 1=on)
wme_apsd_sta	A	Set APSD parameters on STA. Driver must be down.
wme_apsd_trigger	A	Set Periodic APSD Trigger Frame Timer timeout in ms (0=off)
wme_autotrigger	A	Enable/Disable sending of APSD Trigger frame when all ac are delivery enabled
wme_clear_counters	A	clear WMM counters
wme_counters	A	print WMM stats
wme_dp	A	Usage: wl wme_dp <be> <bk> <vi> <vo>
wme_maxbw_params	A	wl wme_maxbw_params [be|bk|vi|vo <value> ....]
wme_tx_params	A	wl wme_tx_params [be|bk|vi|vo [short|sfb|long|lfb|max_rate <value>] ...]
wnm	A	type 'wl msglevel ?' for values
wnm_bsstq	C	send 11v BSS transition management query
wnm_bsstrans_query	C	send 11v BSS transition management query
wnm_bsstrans_req	C	send BSS transition management request frame with BSS termination included bit set
wnm_bsstrans_roamthrottle	A	Get/Set number of roam scans allowed in throttle period
wnm_bsstrans_rssi_rate_map	A	Get/Set rssi to rate map
wnm_dms_set	A	Optionally add pending DMS desc (after tclas_add) and optionally register all desc
wnm_dms_status	A	list all DMS descriptors and provide their internal and AP status
wnm_dms_term	A	Disable registered DMS des on AP side and optionally discard them
wnm_keepalives_max_idle	A	Usage: wl wnm_keepalives_max_idle <keepalives_per_bss_max_idle> <mkeepalive_index> [<max_interv
wnm_maxidle	A	setup WNM BSS Max Idle Period interval and option
wnm_service_term	A	Disable service. Check specific wnm_XXX_term for more info
wnm_tfsreq_add	C	add one tfs request element and send tfs request frame
wnm_timbc_offset	A	get/set TIM broadcast offset by -32768 period > offset(us) > 32768
wnm_timbc_set	C	Enable/disable TIM Broadcast. Station will send appropriate request if AP suport TIMBC
wnm_timbc_status	A	Retrieve TIM Broadcast configuration set with current AP
wnm_url	A	Usage for set: wl wnm_url length urlstring
wowl	A	0 - Clear all events
wowl_bcn_loss	A	Set #of seconds of beacon loss for wakeup event
wowl_ext_magic	A	Set 6-byte extended magic pattern
wowl_pattern	A	usage: wowl_pattern [ [clr | [[ add | del ] offset mask value ]]]
wowl_pkt	C	Send a wakeup frame to wakup a sleeping STA in WAKE mode
wowl_status	A	usage: wowl_status [clear]
wowl_wakeind	A	usage: wowl_wakeind [clear]
wowl_wakeup_reason	A	Returns pattern id and associated wakeup reason
wpa_auth	A	Bitvector of WPA authorization modes:
wpa_cap	A	
wrvar	A	
wsec	A	1 - WEP enabled
wsec_restrict	A	Drop unencrypted packets if WSEC is enabled
wsec_test	A	Generate wsec errors
