# wl command inventory — ASUS GT-AC5300, firmware 3.0.0.4.386_51582
# Regenerate with scripts/wl-inventory.sh. See docs/10-wl-commands.md for the tier model.
#
# A = bare call reads, safe to sweep      B = bare call acts, exclude from sweeps
# C = transmits or needs arguments        D = persistent/regulatory/calibration, do not touch
#
command	tier	help
crsuprs	A	carriersuprs syntax is: crsuprs <channel>
csa	A	<mode> <count> <channel>[a,b][n][u,l][frame type]
csscantimer	A	auto channel scan timer in minutes (0 to disable)
cur_etheraddr	A	Get/set the current hw address
cur_mcsset	A	Get the current mcs set
curppr	A	
customvar1	A	print the value of customvar1 in hex format
cwmax	A	
cwmin	A	
deauthenticate	B	deauthenticate a STA from the AP with optional reason code (AP ONLY)
deauthorize	B	do not restrict traffic to 802.1X packets until 802.1X authorization succeeds
default_rateset	A	Returns supported rateset of given phy.
del_ie	A	Usage: wl del_ie <pktflag> length OUI hexdata
delta_stats	A	get the delta statistics for the last interval
delta_stats_interval	A	set/get the delta statistics interval in seconds (0 to disable)
desired_bssid	A	Set or get the desired BSS ID value
devpath	A	
dfs_ap_move	B	Move the AP interface to dfs channel specified:
dfs_channel_forced	A	Set <channel>[a,b][n][u,l]
dfs_status	A	Get dfs status
diag	D	
disassoc	B	Disassociate from the current BSS/IBSS.
dngl_wd	A	Usage: wl dngl_wd 0\1 (to turn off\on)
dongleset	D	Enable uart driver
down	B	
drift_stats_reset	B	Reset drift statistics
dtim	A	
dump	A	
dyn_bwsw_params	A	Configure the params for dynamic bandswitch
eap	A	0 - disable
eap_restrict	A	set/get EAP restriction
escan	B	Default to an active scan across all channels for any SSID.
escan_event_check	B	Listen and prints the escan events from the dongle
escanabort	B	Abort an escan.
escanresults	B	Start escan and display results.
event_filter	A	Set/get event filter
event_log_set_expand	A	Increase the size of an event log set
event_log_set_init	A	Initialize an event log set
event_log_set_shrink	A	Decrease the size of an event log set
event_log_tag_control	A	Modify the state of an event log tag
event_msgs	A	set/get hex filter bitmask for MAC event reporting via packet indications
event_msgs_ext	A	set/get bit arbitrary size hex filter bitmask for MAC
eventing	A	set/get hex filter bitmask for MAC event reporting up to application layer
evm	A	Arg 1 is channel number 1-14, or "off" or 0 to stop the test.
extlog	A	Usage: wl extlog <from_last> <number>
extlog_cfg	A	get/set external log configuration
extlog_clr	A	clear external log records
fasttimer	A	Deprecated. Use fast_timer.
fbt_auth_resp	A	Get/Set fbt auth response for an interface
fbt_r0kh_id	A	Get/Set R0 Key Holder Idenitifer for an interface
fbt_r1kh_id	A	Get/Set 802.11r R1 Key Holder Idenitifer for an interface
fem	A	usage: wl fem (tssipos2g=0x1 extpagain2g=0x2 pdetrange2g=0x1 triso2g=0x1 antswctl2g=0)
findserver	A	Used to find the remote server with proper mac address given by the user,this cmd is specific t
force_vsdb_chans	A	Set/get channels for forced vsdb mode
fqacurcy	A	Manufacturing test: set frequency accuracy mode.
frag	A	
frameburst	A	Disable/Enable frameburst mode
freqtrack	A	Set Frequency Tracking Mode (0=Auto, 1=On, 2=OFF)
glacialtimer	A	Deprecated. Use glacial_timer.
gmode	A	
gmode_protection	A	Get G protection mode. (0=disabled, 1=enabled)
gmode_protection_control	A	Get/Set 11g protection mode control alg.(0=always off, 1=monitor local association, 2=monitor o
gmode_protection_override	A	Get/Set 11g protection mode override. (-1=auto, 0=disable, 1=enable)
gpioout	A	Usage: gpiomask gpioval
hs20_ie	A	usage: wl hs20_ie <length> <hexdata>
ht_features	A	disable/enable/force proprietary 11n rates support. Interface must be down.
ibss_route_tbl	A	Get/Set ibss route table
ie	A	Usage: For set: wl ie type length hexdata
ignore_bcns	A	AP only (G mode): Check for beacons without NONERP element(0=Examine beacons, 1=Ignore beacons)
infra	A	
interface_create	B	create an AP/STA interface on a WLC instance that receives the IOVAR
interface_remove	B	Deletes the interface on which this command is received
interference	A	NON-ACPHY. Get/Set interference mitigation mode. Choices are:
interference_override	A	NON-ACPHY. Get/Set interference mitigation override. Choices are:
intfer_params	A	set/get intfer params
ip_route_table	A	Get/Set ip route table
iscan_c	B	Default to an active scan across all channels for any SSID.
iscan_s	B	Default to an active scan across all channels for any SSID.
iscanresults	B	Return results from last iscan. Specify a buflen (max 8188)
isup	A	
itfr_detect	A	issue an interference detection request
itfr_enab	A	get/set STA interference detection mode(STA only)
itfr_get_stats	A	get interference source information
join	B	Usage: join <ssid> [key <0-3>:xxxxx] [imode bss|ibss] [amode open|shared|openshared|wpa|wpapsk|
join_pref	B	Set/Get join target preferences.
keep_alive	C	Send specified "keep-alive" packet periodically.
keys	A	
lazywds	A	
lcnphy_papdepstbl	A	print papd eps table; Usage: wl lcnphy_papdepstbl
led_blink_sync	A	set/get led_blink_sync
ledbh	A	Usage: wl ledbh [0-3] [0-15]
legacy_erp	A	Get/Set 11g legacy ERP inclusion (0=disable, 1=enable)
